issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,8470,298532,7892,278179,0.07453969800736579
overlap,8512,211433,7932,196977,0.008144644124189332
overlap,8573,560903,7989,507070,1.5039704804892945e-08
overlap,8573,142323,7989,132628,6.748075611474891e-05
overlap,8620,539983,8033,503046,0.004223142718123973
overlap,8688,244713,8098,519063,0.0009016592154917902
overlap,8697,36978,8104,518638,0.009234058835413925
overlap,8726,336630,8132,313747,0.0021271196802530312
overlap,8751,453558,8156,423213,0.0007915461547639557
overlap,8792,1311120,8193,512162,0.0003600275784141853
overlap,8792,1311122,8193,512164,3.605356979305305e-05
overlap,8792,32691,8193,512167,0.0003145287095928185
overlap,8792,232826,8193,216948,4.2367176671245256e-05
overlap,8906,164579,8296,153365,0.000769921105856386
overlap,8930,1475433,8319,547265,7.344658439645203e-05
overlap,8930,1475434,8319,547266,0.00022246432609485112
overlap,8930,1475435,8319,547267,9.929208789860589e-05
overlap,8959,431935,8346,403075,0.013705482734899074
overlap,9032,122379,8413,113979,0.0005765132549959908
overlap,9063,273721,8444,254973,5.534054486333595e-05
overlap,9063,32005,8444,29846,6.506638419645662e-06
overlap,9105,56434,8482,52552,0.0021481636033691396
overlap,9161,158917,8534,148103,0.00045491778058305
overlap,9203,1362781,8575,514119,0.0010076325894671206
overlap,9216,57509,8587,53561,1.976397134847177e-05
overlap,9216,218453,8587,203528,0.0007048345223611963
overlap,9243,543767,8614,506222,0.0036098334282748112
overlap,9279,80519,8647,75001,0.003866858101003956
overlap,9287,470739,8654,439159,8.432708640321773e-05
overlap,9288,504895,8655,470841,0.0007352623953849071
overlap,9393,519282,8750,484084,8.894882009696792e-07
overlap,9460,797248,8813,530526,3.884965735308018e-05
overlap,9523,527564,8875,491754,0.0002940831181921094
overlap,9523,154415,8875,143901,0.002137705612267225
overlap,9533,26898,8885,517620,0.0011755250401250367
overlap,9536,198101,8888,184599,0.003971507021819749
overlap,9548,112892,8899,105105,0.0013671439146989428
